problem,answer
"Mol bealach amháin a bhféadfai Nós Imeachta na nÉileamh Beag a fheabhsú, dar leat. Tabhair cúis chun tacú le do fhreagra.","1 (B) (ii) Mol bealach amháin a bhféadfai Nós Imeachta na nÉileamh Beag a fheabhsú, dar leat. Tabhair cúis chun tacú le do fhreagra.
Bain an táille chun tuilleadh cásanna a spreagadh
Méadú ar luach na n-éileamh is féidir a dhéanamh"
"Liostaigh trí chúis faoinar féidir a mheas go bhfuil dífhostú éagórach de réir an Achta um Dhífhostú Éagórach, 1977/2015.","1 (C) (i) Liostaigh trí chúis faoinar féidir a mheas go bhfuil dífhostú éagórach de réir an Achta um Dhífhostú Éagórach, 1977/2015.
Ballraíocht san Aontas
Cradaeamh reiligiúnach nó polaitiúil
Gine"
"Tabhair breac-chuntas ar thrí nós imeachta ba chóir d'fhostóir a leanúint nuair atá fostaí á dhífhostú, faoin Acht um Dhífhostú Éagórach, 1977/2015.","1 (C) (ii) Tabhair breac-chuntas ar thrí nós imeachta ba chóir d'fhostóir a leanúint nuair atá fostaí á dhífhostú, faoin Acht um Dhífhostú Éagórach, 1977/2015.
Comhairleoireacht Neamhfhoirmiúil:
Ba cheart ar nós imeachta neamhfhoirmiúil-disciplíneach sí a dhéanamh lena chinntiú go bhfuil na saincheisteanna lena bhfulleagar ag súil ar polaísa ag an gcomhlacht, agus ba cheart go raibh maoirseoirí/bainisteoirí a dhéanfaidh é."
Déan idirdhealú idir fás geilleagrach agus rátai úis.,"2 (A) (i) Déan idirdhealú idir fás geilleagrach agus rátai úis.
Ciallaíonn fás eacnamaíoch méadú ar luach na n-earra agus seirbhísí a tháirgtear i dtír i dtír ó thréimhse amháin go dtí an chéad tréimhse eile."
Tabhair breac-chuntas ar na tionchair a bhíonn ag méadú i rátai úis ar ghnólachtaí Éireannacha.,"2 (A) (ii) Tabhair breac-chuntas ar na tionchair a bhíonn ag méadú i rátai úis ar ghnólachtaí Éireannacha.
Costais mhéadaithe /Brabúis laghdaithe: Tháinig méadú ar na costais do ghnólachtaí Éireannacha de réir mar a mhéadú ar ús ar iasachtaí agus aisíocaíochtaí iasachtaí. Laghdaigh sé sin ar bhrabúsacht."
Léirigh an tuiscint atá agat ar an téarma ar earnáil phríomhúil.,"2 (B) (i) Léirigh an tuiscint atá agat ar an téarma ar earnáil phríomhúil.
Tagraíonn an earnáil Feirmeoireacht do bhaint amháin amhábhar as acmhainní nádúrtha. M.sh. Feirmeoireacht, Iascaireacht, Mianadóireacht, Foraoiseacht srl."
Déan plé ar na treochtaí reatha in earnáil phríomhúil an gheilleagair.,"2 (B) (ii) Déan plé ar na treochtaí reatha in earnáil phríomhúil an gheilleagair.
Áthrú Aeráide
Teastaíonn bealaí feirmeoireachta/iascaireachta níos inbhuanaithe srl."
Mínigh an téarma 'citic ghnó'.,"2 (C) (i) Mínigh an téarma 'citic ghnó'.
Is éard atá san eitic gnó ná na rialacha / caighdeáin / prionsabail mhorálta (ceart nó mícheart) a chuidíonn le daoine roghanna eiticiúla a dhéanamh i ngnólacht."
Tabhair breac-chuntas ar conas a d'fhéadfadh gnólachtaí a chuid fostaithe a spreagadh le bheith eiticiúil.,"2 (C) (ii) Tabhair breac-chuntas ar conas a d'fhéadfadh gnólachtaí a chuid fostaithe a spreagadh le bheith eiticiúil.
Cód Eitice
Ba cheart don ghnólacht cód eitice a dhréachtú, arb é sin ráiteas foirmiúil i scríbhinn, ina leagtar amach an t-iompar a bhfuiltear ag súil leis ag ghnólacht agus é ag déileáil le páirtithe leasmhara."
"Léigh an t-eolas a thugtar agus freagair na ceisteanna a leanann é.

Éire 2023 R3

(i) Mínigh an téarma Comhardú na nIocaíochtaí.","Ciallaíonn Comhardú na nIocaíochtaí an difríocht idir idir iomlán na n-easportálacha agus iomlán na n-iomportálacha idir.
•	Is é an difríocht idir na n-earraí agus na seirbhísí fisiciúla go léir a dhíoltar le tíortha eile atá bunaithe thar lear i dtíortha eile, agus luach na n-allmhairí sofheicthe agus na n-allmhairí dofheicthe, earraí agus seirbhísí fisiciúla a cheannaíonn tomhaltóirí Éireannacha ó ghnólachtaí atá bunaithe thar lear.
•	Ní fédir le barrachas a bheith ann má bhíonn iomlán na n-easportálacha níos mó iomlán na n-iomportálacha.
•	Áirítear heasportálacha sofheicthe earraí amhail mairteoil. Áirítear luasteáin le hallmhairí infheicthe
•	Áirítear heasportálacha dofheicthe seirbhísí a dhíoltar le custaiméirí atá bunaithe thar lear amhail eitiltí Aer Lingus le turasóirí Meiriceánacha"
"Léigh an t-eolas a thugtar agus freagair na ceisteanna a leanann é.

Éire 2023 R3

(ii) Ríomh Comhardú na Trádála agus Comhardú na nIocaíochtaí ag baint úsáid as na sonraí thuas.
Luaigh cé acu barrachas nó easnamh atá i do fhreagra. Taispeáin do chuid oibre.","Ríomh Comhardú na Trádála agus Comhardú na nIocaíochtaí ag baint úsáid as na sonraí thuas.
Luaigh cé acu barrachas nó easnamh atá i do fhreagra. Taispeáin do chuid oibre.

Comhardú na Trádála
Easpórtálacha Sofheicthe - Iompórtálacha Sofheicthe
€72bn - €34bn = €38bn barrachas

Comhardú na nIocaíochtaí=
Easpórtálacha Iomlána - Iompórtálacha Iomlána
(72bn+93bn) - (34bn+84bn) = €47bn barrachas

NÓ
€165bn- €118bn = €47bn barrachas"
"Seachas cánachas, déan plé ar na cúiseanna a lonnaíonn cuideachtaí ilnáisiúnta in Éirinn.","Lucht Saothair Oilte
Tá lucht saothair ard-oilte ag Éirinn. Tugann sé sin líon níos fearr oibrithe do chuideachtaí ilnáisiúnta ag a bhfuil scileanna is mó a lorgaítear le roghnú astu. Is é 53.5% an sciar daoine 30-34 bliain d’aois a bhfuil cáilíocht tríú leibhéal acu ná i gcomparáid le meán an AE de 40%.

Rochtain ar Mhargaí an Aontais
Trí ghnólachtaí a chur ar bun in Éirinn, is féidir le cuideachtaí móra a gcuid táirgí a dhíol faoi shaoirse ar fud mhargaí móra an Aontais Eorpaigh gan aon bhac ar thrádáil. Méadaíonn sé sin a gcuid brabús.

Béarla
Breathnaítear ar an mBéarla mar theanga ghnó agus spreagann sé sin gnólachtaí chun lonnú anseo mar is í Éire an t-aon tír san Aontas Airgeadaíochta Eacnamaíoch arb é an Béarla a céad teanga.

Deontais/Páirceanna Gnó Forbartha
Is féidir le cuideachtaí ilnáisiúnta leas a bhaint as tacaíochtaí flaithiúla a chuireann gníomhaireachtaí stáit ar fáil amhail páirceanna gnó nó maoiniú chun an costas a bhaineann le bunú agus reáchtáil a ngnó a laghdú.

Éifeacht Bhraisle/Bhreataineachta
Mar gheall ar chomhchruinniú na gcuideachtaí ilnáisiúnta in Éirinn, d’fhéadfadh iad fallach a chur ar fáil do ghnólachtaí intíre bheith níos nuaí chundol san iomaíocht. Mar thoradh ar an nuálaíocht mhéadaithe sin, forbraítear ardscileanna agus ard-eolas i dtionscal.

Suíomh Geografach
Tá Éire ina droichead idir SAM agus an Eoraip. Chomh maith leis sin, tá Éire an-ghar don Ríocht Aontaithe, agus is í an Ríocht Aontaithe ceann de na geilleagar is mó domhan."
Déan idirdhealú idir na téarmaí an cumasc margaíochta caighdeánaithe agus an cumasc margaíochta sainoiriúnaithe.,"Ciallaíonn meascán caighdeánach margaíochta gnólacht a úsáideann an teacht cheanna dá meascán margaíochta domhanda (táirge domhanda, praghas domhanda, cur chun cinn domhanda agus áit dhomhanda) ach

Ciallaíonn an meascán margaíochta oiriúnaithe gnólacht a athraíonn an táirge domhanda, praghas domhanda, cur chun cinn domhanda, straitéisí áite domhanda chun freastal ar bhreifhithe áitiúila m.sh. cultúr áitiúil, teanga áitiúil, caighdeán maireachtála áitiúil, costais dáileacháin, reiliúin srl."
"Mínigh an tábhacht d’Éirinn a bhaineann le ceann amháin ar bith de na polasaithe seo a leanas de chuid an Aontais Eorpaigh.

An Comhbheartas Talmhaíochta
Polasaí Sóisialta an AE
Polasaí Iomaíochta an AE.","An Comhbheartas Talmhaíochta

Cuireann sé caighdeáin mhaireachtála cóir d’fheirmeoirí chun cinn:
Tugann an Comhbheartas Talmhaíochta deontais d’fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoiri faoi scéim den fheirmeoiri faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim den fheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim denfheirmeoirí faoi scéim"
"Léigh an t-eolas a thugtar agus freagair na ceisteanna a leanann é.
Minigh cúiseanna a mbeadh duine ina f(h)iontraí.","Tuillteoir níos mó ioncaim
Tuilleann fostaí pá as bheith ina chuid nó ina cuid de ghnólacht. D’fhéadfadh fadais coimisiún a thuilleamh freisin. Coinníonn fiontraí gach brabús a dhéanann an ghnólacht, áfach. De réir mar a fhasann an gnólacht, tagann méadú suntasach ar a n-acmhainneacht tuillimh.

Bheith ina ‘máistir orthu féin’
Bíonn saol féintreoraithe ag an bhfiontraí sa ghnólacht. Ní siad freagrach do bhainisteoir.

I bhfabhar cultúr fiontraíochta in Éirinn
Spreagtar gníomhaíocht fiontraíochta in Éirinn. Cuireann na hOifigí Fiontair Áitiúla (OFAnna) tacaíocht ollmhór ar fáil do ghnólachtaí áitiúla a bhfuil níos lú ná 10 bhfostaí iontu.

Iomaíocaíocht
Nuair a chuirtear duine aona ar iomarcaíocht, d’fhéadfadh sé go spreagfaí é nó í lena shaol saoil a athrú trí ghnólacht a chur ar bun.

Gá le gnóthachtáil/Ego/Oidhreacht
Bíonn mian láidir acu a bheith rathúil agus impireacht a fhorbairt."
