"problem","image_problem","answer","image_answer"
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
A molecule of compound A can undergo catalytic cracking to produce a molecule of methylpropane and a molecule of compound C.
State the systematic IUPAC name of three of the possible isomers of compound C.  In each case, draw the molecular structure of the isomer, including all atoms and bonds.","images/chemistry/problem/6.png","but-1-ene // but-2-ene // methylpropene","images/chemistry/answer/6c_ii.png"
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
A molecule of compound A can undergo catalytic cracking to produce a molecule of methylpropane and a molecule of compound C.
The complete combustion of compound A may be described by the following balanced chemical equation: $\ce{CH3(CH2)6CH3(l) + 12O2(g) -> 8CO2(g) + 9H2O(l)}$
The heat of formation of compound A is –250.3 kJ mol^{-1}.  The heats of formation of carbon dioxide and water are –393.5 kJ mol^{-1} and –285.8 kJ mol^{-1} respectively. Calculate the heat of combustion of compound A.","images/chemistry/problem/6.png","8(–393.5) [= –3148] (2 [multiplicative factor] + 1 [sign]) + 9(–285.8) [= –2572.2] (2 [multiplicative factor] + 1 [sign]) – (–250.3) [= +250.3] (2 [multiplicative factor] + 1 [sign]) = –5469.9 (kJ mol^{-1})",""
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
A molecule of compound A can undergo catalytic cracking to produce a molecule of methylpropane and a molecule of compound C.
The complete combustion of compound A may be described by the following balanced chemical equation: $\ce{CH3(CH2)6CH3(l) + 12O2(g) -> 8CO2(g) + 9H2O(l)}$
The heat of formation of compound B is –260.5 kJ mol^{-1}.  Calculate the heat of reaction for the conversion of compound A to compound B.","images/chemistry/problem/6.png","–260.5 – (–250.3) = –10.2 (kJ mol^{-1}) ",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
Explain what is meant by chemical equilibrium.","","forward and reverse reactions have equal rates // concentrations are constant",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
Write an expression for the equilibrium constant $K_c$ for this reaction.","","$\frac{[H_2][CO_2]}{[H_2O][CO]}$",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
At equilibrium at temperature $T$, there were 0.8 moles of hydrogen gas in the container. Calculate the value of $K_c$ for the equilibrium at this temperature.","","$\frac{[H_2O]}{V} = \frac{3.2}{V}$ // $\frac{[CO]}{V} = \frac{0.2}{V}$ // $\frac{[CO_2]}{V} = \frac{0.8}{V}$
[accept expressions for concentrations with or without reference to V]
$\frac{0.8 * 0.8}{3.2 * 0.2} = 1$",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
If the same reaction had been carried out at the same temperature $T$ in the same container, but with an initial mixture of 2.5 moles of steam and 2.5 moles of carbon monoxide, explain why the value of $K_c$ would not change from the value calculated in (a)(iii) above. Explain why the value of $K_c$ would not change. ","","no change in temperature / $K_c$ is only affected by temperature",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
If the same reaction had been carried out at the same temperature $T$ in the same container, but with an initial mixture of 2.5 moles of steam and 2.5 moles of carbon monoxide, calculate the mass of carbon dioxide present in the container at equilibrium in the case described in (b)(i).","","$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$.
initially 2.5 2.5 0 0
equilibrium 2.5 - x 2.5 - x x x
[accept expressions for concentrations with or without reference to V]
$\frac{x^2}{(2.5 - x)^2} = 1$
$x = 1.25 \space (moles)$
$M_r = 44$
mass = 55 g",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
State the effect, if any, of decreasing the pressure in the container on the percentage conversion of steam to hydrogen.  Justify your answer.","","no effect (3) 
equal number of moles/molecules (of gas) on both sides",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
How could the value of $K_c$ be increased for this equilibrium reaction?  Justify your answer. ","","reduce temperature (3) 
exothermic reaction favoured / (forward) reaction is exothermic ",""
"When 4.0 moles of steam and 1.0 moles of carbon monoxide were mixed together at temperature $T$ in a container of fixed volume $V$, they reacted to produce hydrogen and carbon dioxide.
An equilibrium was established which is described by the following balanced chemical equation:
$H_2O_{(g)} + CO_{(g)} \rightleftharpoons H_{2(g)} + CO_{2(g)}$   $\Delta H = -38.8 kJ \space mol^{-1}$
In an industrial context, a catalyst is usually used to ensure that equilibrium is established as quickly as possible for this reaction.  State the effect of using a catalyst on the value of $K_c$ at temperature T.  Justify your answer.","","no effect (3) 
(rate of) forward and reverse reactions affected equally / only rate affected / 
catalyst only affects time taken to reach equilibrium / $K_c$ is only affected by T ",""
"Study the reaction scheme below and answer the questions that follow. 
How does the geometry around the carbon atoms change during reaction A?","images/chemistry/problem/8.png","planar / trigonal / triangular / 120° 
to tetrahedral / 109° ",""
"Study the reaction scheme below and answer the questions that follow. 
Reaction B takes place in the presence of chlorine (Cl2) gas and ultraviolet light. 
Should reaction B be classified as an addition reaction, a substitution reaction or an elimination reaction?","images/chemistry/problem/8.png","substitution",""
"Study the reaction scheme below and answer the questions that follow. 
Reaction B takes place in the presence of chlorine (Cl2) gas and ultraviolet light. 
Describe the mechanism for reaction B.","images/chemistry/problem/8.png","(initiation/homolysis): $Cl_2 \rightarrow 2Cl^\bullet$ in the presence of uv/light,
(propagation): $C_2H_6 + Cl^\bullet \rightarrow ^\bullet C_2H_5 + HCl$,
(propagation):$^\bullet C_2H_5 + Cl_2 \rightarrow C_2H_5Cl + Cl^\bullet$,
(termination):e.g., $^\bullet C_2H_5 + Cl^\bullet \rightarrow C_2H_5Cl$
[Note: $^\bullet$ is not needed on Cl but is needed on •C2H5]",""
"Study the reaction scheme below and answer the questions that follow. 
Reaction B takes place in the presence of chlorine (Cl2) gas and ultraviolet light. 
A trace quantity of C4H10 is formed during reaction B.  Explain how the formation of C4H10 is evidence for the mechanism described.","images/chemistry/problem/8.png","shows existence of ethyl free radical / $2^\bullet C_2H_5 \rightarrow C_4H_10$",""
"Study the reaction scheme below and answer the questions that follow. 
Reaction B takes place in the presence of chlorine (Cl2) gas and ultraviolet light. 
Apart from the formation of C4H10, state one other piece of evidence for this mechanism.","images/chemistry/problem/8.png","reaction needs uv/light (to start) / multiple product molecules for each photon / free radical source increases reaction rate / $Cl_2 \rightarrow 2Cl^\bullet$ in the presence of uv/light",""
"Study the reaction scheme below and answer the questions that follow. 
Polyvinylchloride (PVC) is synthesised in three steps from $C_2H_4$.  These steps are an addition reaction to form compound X, then an elimination reaction to form compound Y and finally the polymerisation of Y to form PVC, as outlined in the reaction scheme above.
State the systematic IUPAC name for compound X.","images/chemistry/problem/8.png","1,2-dichloroethane ",""
"Study the reaction scheme below and answer the questions that follow. 
Polyvinylchloride (PVC) is synthesised in three steps from $C_2H_4$.  These steps are an addition reaction to form compound X, then an elimination reaction to form compound Y and finally the polymerisation of Y to form PVC, as outlined in the reaction scheme above.
Name the inorganic compound that is eliminated when X is converted to Y. ","images/chemistry/problem/8.png","hydrogen chloride ",""
"Study the reaction scheme below and answer the questions that follow. 
Polyvinylchloride (PVC) is synthesised in three steps from $C_2H_4$.  These steps are an addition reaction to form compound X, then an elimination reaction to form compound Y and finally the polymerisation of Y to form PVC, as outlined in the reaction scheme above.
Draw the structure of a molecule of X showing all of its atoms and all of its bonds and indicate clearly which of its bonds are broken during the elimination reaction.","images/chemistry/problem/8.png","one C–Cl bond indicated and one C–H bond on the other carbon indicated","images/chemistry/answer/8c_iii.png"
"Study the reaction scheme below and answer the questions that follow. 
Polyvinylchloride (PVC) is synthesised in three steps from $C_2H_4$.  These steps are an addition reaction to form compound X, then an elimination reaction to form compound Y and finally the polymerisation of Y to form PVC, as outlined in the reaction scheme above.
Draw the structure of a molecule of Y showing all of its atoms and all of its bonds and indicate clearly which of its bonds are formed during the elimination reaction.","images/chemistry/problem/8.png","(one bond of the) C=C double bond indicated","images/chemistry/answer/8c_iv.png"
"Study the reaction scheme below and answer the questions that follow. 
Polyvinylchloride (PVC) is synthesised in three steps from $C_2H_4$.  These steps are an addition reaction to form compound X, then an elimination reaction to form compound Y and finally the polymerisation of Y to form PVC, as outlined in the reaction scheme above.
Draw two repeating units of the polymer PVC.","images/chemistry/problem/8.png","","images/chemistry/answer/8c_v.png"
"Explain why ammonia (NH3) is considered to be a base according to the Brønsted-Lowry theory but is not considered to be a base according to the Arrhenius theory.","","it is a proton acceptor 
it does not dissociate in water to produce OH– ",""
"The self-ionisation of liquid ammonia is described by the following balanced chemical equation: $NH_3 + NH_3 \rightleftharpoons NH_4^+ + NH_2^-$
Identify the conjugate acid of NH3 in this equilibrium. ","","$NH_4^+$",""
"The self-ionisation of liquid ammonia is described by the following balanced chemical equation: $NH_3 + NH_3 \rightleftharpoons NH_4^+ + NH_2^-$
Identify the conjugate base of NH3 in this equilibrium. ","","$NH_2^-$",""
"Define pH.","","$-\log_{10}$
$[H^+]$",""
"The pH of pure water is 7 at 25 °C.  Explain why the pH of pure water is not 7 at 50 °C.","","$K_w$ changes with $T$ / $[H^+]$ changes with $T$ / degree of dissociation changes with $T$",""
"10 $\text{cm}^3$ sample of strong monobasic acid X was diluted by mixing it with deionized water until it had a new volume of 100 $\text{cm}^3$. What is the change in the pH?","","increases by 1",""
"Weak monobasic acid Y has an acid dissociation constant $K_a = 1.8 \times 10^{-5}$. A sample of acid Y has a pH of 2.9. Calculate the concentration of the sample.","","$\text{pH} = -\log_{10}(\sqrt{K_a M_{\text{acid}}})$ / $[H^+] = \sqrt{K_a M_{\text{acid}}}$ / $[H^+] = 10^{-\text{pH}}$ / $\sqrt{K_a M_{\text{acid}}} = 0.00105 $K_a M_{\text{acid}} = 0.0000011$ / $[Y] = 0.061 \, \text{mol L}^{-1}$",""
"A certain water-soluble acid-base indicator can be represented as HIn.  Its dissociation in water is described by the following balanced chemical equation:
\text{HIn} \rightleftharpoons \text{H}^+ + \text{In}^-
blue green
The undissociated HIn is blue. The In$^-$ ion is green.
What colour change is observed when a few drops of a solution of HIn are added to 25 cm$^3$ of a 0.1 M solution of potassium hydroxide (KOH)? Justify your answer.","","blue to green / (turns) green
[H^+] decreases / reaction moves to the right / system reacts to oppose stress",""
"Acid Z is titrated against a solution of sodium carbonate (Na$_2$CO$_3$). The titration curve is shown in the diagram.
What evidence is there that acid Z is a strong acid? ","images/chemistry/problem/9d.png","pH is close to 0 (when pure) / weak base and long vertical 
[accept pH < 1 or pH is very low] ",""
"Acid Z is titrated against a solution of sodium carbonate (Na$_2$CO$_3$). The titration curve is shown in the diagram.
An indicator with pH range of 8 to 10 was used in this titration.
Would you expect the indicator to change colour before the point of neutralisation, after the point of neutralisation, or coinciding with the point of neutralisation?  Justify your answer.","images/chemistry/problem/9d.png","after vertical part of the graph ends before 10",""
"Define oxidation in terms of electron transfer.","","loss",""
"State the oxidation number of phosphorus in P_4 and PO_4^{3-}.","","0, +5",""
"State the oxidation number of nitrogen in NO_3^{-} and NO.","","+5, +2",""
"Hence or otherwise, balance the chemical equation:
P_4 + NO_3^{-} + H_2O \\rightarrow PO_4^{3-} + NO + H^{+}","","P: 5 [state/imply] [accept number consistent with (ii)] 
N: 3 [state/imply] [accept number consistent with (iii)]
3P_4 + 20NO_3^{-} + 8H_2O \\rightarrow 12PO_4^{3-} + 20NO + 16H^{+}",""
"Identify the reducing agent in the reaction above.","","P_4",""
"The elements radium (Ra) and polonium (Po) were discovered on the basis of their radioactivity through the work of Marie and Pierre Curie. In 1902 they obtained 0.1 g of pure RaCl_2 from a tonne of pitchblende, the material remaining after uranium is extracted from its ore. In 1910 Marie Curie isolated pure radium. However she never succeeded in isolating pure polonium, in part because of its short half-life.
(i) What is meant by radioactivity?","","(spontaneous) disintegration of a nucleus with the release of radiation",""
"The elements radium (Ra) and polonium (Po) were discovered on the basis of their radioactivity through the work of Marie and Pierre Curie. In 1902 they obtained 0.1 g of pure RaCl_2 from a tonne of pitchblende, the material remaining after uranium is extracted from its ore. In 1910 Marie Curie isolated pure radium. However she never succeeded in isolating pure polonium, in part because of its short half-life.
(ii) What is meant by the half-life of a radioisotope?","","time for half a sample to decay / time for activity to halve",""
"The nuclear equation below represents the alpha decay of polonium-210. \n^{210}_{84}Po \\rightarrow ^Y_Z + ^4_2\\alpha
(iii) Identify the number X.","","206",""
"The nuclear equation below represents the alpha decay of polonium-210. \n^{210}_{84}Po \\rightarrow ^Y_Z + ^4_2\\alpha
(iv) Identify the number Y.","","82",""
"The nuclear equation below represents the alpha decay of polonium-210. \n^{210}_{84}Po \\rightarrow ^Y_Z + ^4_2\\alpha
(v) Identify the element represented by Z.","","lead/Pb",""
"The nuclear equation below represents the alpha decay of polonium-210. \n^{210}_{84}Po \\rightarrow ^Y_Z + ^4_2\\alpha
(vi) Identify the two noble gas radioisotopes formed when a radium-226 nucleus undergoes alpha decay.","","radon/Rn, helium/He",""
"The nuclear equation below represents the alpha decay of polonium-210. \n^{210}_{84}Po \\rightarrow ^Y_Z + ^4_2\\alpha
(vii) Calculate the maximum mass of radium that could be isolated from 0.1 g of RaCl_2.","","\nM_r = 297 \n\\frac{226}{297} \\times 0.1 = 0.076 (g)",""
"Rusting of iron involves several different reactions that take place in the presence of moist air. The mass of an iron object and its overall volume increase because of these rusting reactions occurring on the surface of the object. One of the reactions is described by the following balanced chemical equation: \n4Fe + 3O_2 \\rightarrow 2Fe_2O_3 \nThe mass of an iron object increased by 1.92 g as a result of this reaction.
(i) Calculate the volume of oxygen gas, measured at s.t.p., that reacted with the iron.","","\nM_r = 32 \n\\frac{1.92}{32} = 0.06 (moles of O_2) \n0.06 \\times 22.4 = 1.34 L // \\frac{0.06 \\times 8.3 \\times 273}{101325} = 0.00134 m^3",""
"Rusting of iron involves several different reactions that take place in the presence of moist air. The mass of an iron object and its overall volume increase because of these rusting reactions occurring on the surface of the object. One of the reactions is described by the following balanced chemical equation: \n4Fe + 3O_2 \\rightarrow 2Fe_2O_3 \nThe mass of an iron object increased by 1.92 g as a result of this reaction.
(ii) Calculate the mass of Fe_2O_3 produced.","","\nM_r = 160 \n\\frac{0.06}{3} \\times 2 = 0.04 (moles of Fe_2O_3) \n0.04 \\times 160 = 6.4 (g) // \\frac{0.06}{3} \n4 \\times 0.08 (moles of Fe) \n// 0.08 \\times 56 = 4.48 (g of Fe) \n// 4.48 + 1.92 = 6.4 (g)",""
"Rusting of iron involves several different reactions that take place in the presence of moist air. The mass of an iron object and its overall volume increase because of these rusting reactions occurring on the surface of the object. One of the reactions is described by the following balanced chemical equation: \n4Fe + 3O_2 \\rightarrow 2Fe_2O_3 \nThe mass of an iron object increased by 1.92 g as a result of this reaction.
(iii) Calculate the number of iron atoms that reacted.","","\n0.08 (moles of Fe) \n0.08 \\times 6.0 \\times 10^{23} = 4.8 \\times 10^{22} (atoms)",""
"Rusting of iron involves several different reactions that take place in the presence of moist air. The mass of an iron object and its overall volume increase because of these rusting reactions occurring on the surface of the object. One of the reactions is described by the following balanced chemical equation: \n4Fe + 3O_2 \\rightarrow 2Fe_2O_3 \nThe mass of an iron object increased by 1.92 g as a result of this reaction.
(iv) Calculate the increase in the volume of the iron object, taking the density of Fe to be 7.86 g cm^{-3} and the density of Fe_2O_3 to be 5.25 g cm^{-3}. ","","\nFe: 0.08 \\times 56 = 4.48 (g) \n4.48 \\div 7.86 = 0.57 (cm^3) \nFe_2O_3: 6.4 \\div 5.25 = 1.22 (cm^3) \n\\Delta = 1.22 - 0.57 = 0.65 (cm^3)",""
"Boron trifluoride (BF_3) is a colourless gas with an unpleasant odour.
(i) Draw a dot and cross diagram to show the arrangement of the valence electrons in a molecule of BF_3.","","","images/chemistry/answer/11a_j.png"
"Boron trifluoride (BF_3) is a colourless gas with an unpleasant odour.
(ii) Would you expect a B-F bond to be polar or non-polar? Justify your answer.","","polar (large) electronegativity difference",""
"Boron trifluoride (BF_3) is a colourless gas with an unpleasant odour.
(iii) Would you expect a BF_3 molecule to be polar or non-polar? Justify your answer.","","non-polar symmetry / no net dipole / +ve and -ve centres coincide / B has no lone pair",""
"Boron trifluoride (BF_3) is a colourless gas with an unpleasant odour.
(iv) Phosphane (PH_3) is a colourless, flammable, highly toxic gas used in the semiconductor industry. Predict the shape of a molecule of PH_3. Explain your prediction.","","pyramidal / distorted tetrahedron / correct diagram drawn three bond pairs and one lone pair (on P)",""
"Boron trifluoride (BF_3) is a colourless gas with an unpleasant odour.
(v) Neither BF_3 nor PH_3 is very soluble in water. Explain why.","","non-polar / little hydrogen bonding / little intermolecular forces",""
"The table below shows compounds A to E, where R represents a CH_3 group and R' represents a C_2H_5 group.
(i) State the systematic IUPAC names for compounds A, B, C, D and E.","images/chemistry/problem/11b.png","A: 2,2-dichlorobutane B: propan-2-ol C: butan-2-ol D: propanoic acid E: methyl ethanoate",""
"The table below shows compounds A to E, where R represents a CH_3 group and R' represents a C_2H_5 group.
(ii) Classify compound B as a primary alcohol or a secondary alcohol. Justify your answer.","images/chemistry/problem/11b.png","secondary OH is bonded to a carbon which is bonded to two other carbons",""
"The table below shows compounds A to E, where R represents a CH_3 group and R' represents a C_2H_5 group.
(iii) Are compounds D and E structural isomers? Justify your answer.","images/chemistry/problem/11b.png","yes same number of atoms of each type / same molecular formula",""
"Water hardness is caused by certain dissolved metal ions.
(i) Write the chemical formulae for the two metal ions that most commonly cause hardness when dissolved in water.","","Ca^{2+}, Mg^{2+} [charges required]",""
"Water hardness is caused by certain dissolved metal ions.
(ii) Identify an anion which is commonly dissolved in water with these metal ions when temporary hardness is involved.","","hydrogencarbonate / bicarbonate",""
"Water hardness is caused by certain dissolved metal ions.
(iii) Identify an anion which is commonly dissolved in water with these metal ions when permanent hardness is involved.","","sulfate / chloride",""
"When hard water is boiled in a kettle, limescale deposits build up on the heating element.
(iv) Write a balanced chemical equation to describe the formation of limescale when hard water is boiled.","","Ca(HCO_3)_2 \\rightarrow CaCO_3 + CO_2 + H_2O",""
"Hard water may be softened by deionising it.
(v) Explain how water may be deionised using ion exchange resins.","","ions exchanged for H^+ and OH^-",""
"Hard water may be softened by deionising it.
(vi) Explain why deionised water is not as pure as distilled water.","","may contain dissolved gases / may contain non-ionic material / may contain organic compounds / may contain suspended material",""
"Unlike many other environmental problems, stratospheric ozone depletion has been largely remedied by international agreement about the use of CFCs. The damaging effect of CFCs on the ozone layer was predicted by the Mexican chemist Mario Molina before the 'hole' in the ozone layer was observed.
(i) What is ozone?","","O_3",""
"Unlike many other environmental problems, stratospheric ozone depletion has been largely remedied by international agreement about the use of CFCs. The damaging effect of CFCs on the ozone layer was predicted by the Mexican chemist Mario Molina before the 'hole' in the ozone layer was observed.
(ii) Explain how ozone is formed in the stratosphere.","","O_2 → 2O*
O* + O_2 → O_3
[Note: * is not needed on O]",""
"Unlike many other environmental problems, stratospheric ozone depletion has been largely remedied by international agreement about the use of CFCs. The damaging effect of CFCs on the ozone layer was predicted by the Mexican chemist Mario Molina before the 'hole' in the ozone layer was observed.
(iii) What are CFCs?","","chlorofluorocarbons",""
"Unlike many other environmental problems, stratospheric ozone depletion has been largely remedied by international agreement about the use of CFCs. The damaging effect of CFCs on the ozone layer was predicted by the Mexican chemist Mario Molina before the 'hole' in the ozone layer was observed.
(iv) State one main use of CFCs.","","refrigerant, aerosol/propellant, fire suppressant, blowing agent, solvent, chemical precursor",""
"Unlike many other environmental problems, stratospheric ozone depletion has been largely remedied by international agreement about the use of CFCs. The damaging effect of CFCs on the ozone layer was predicted by the Mexican chemist Mario Molina before the 'hole' in the ozone layer was observed.
(v) Explain how CFCs in the stratosphere damage the ozone layer.","","source of free radicals / source of Cl (atoms)
which cause ozone to become O_2",""
"Unlike many other environmental problems, stratospheric ozone depletion has been largely remedied by international agreement about the use of CFCs. The damaging effect of CFCs on the ozone layer was predicted by the Mexican chemist Mario Molina before the 'hole' in the ozone layer was observed.
(vi) Identify one example of an ozone-friendly CFC replacement.","","HCFCs / HFCs",""
"Iron metal is extracted from its ores by reduction in a blast furnace like that illustrated in the diagram on the right.
(i) Identify the two solid materials that are continually added with the iron ore in the charge at the top of the furnace.","images/chemistry/problem/11d.png","coke / carbon
limestone / calcium carbonate",""
"Iron metal is extracted from its ores by reduction in a blast furnace like that illustrated in the diagram on the right.
(ii) Identify the hot gas that is blown into the furnace above the hearth during production.","images/chemistry/problem/11d.png","air / oxygen",""
"Iron metal is extracted from its ores by reduction in a blast furnace like that illustrated in the diagram on the right.
(iii) Identify by-product B that is removed at the bottom of the furnace.","images/chemistry/problem/11d.png","slag / CaSiO_3 / CaAl_2O_4",""
"Carbon monoxide acts as a reducing agent in the blast furnace.
(iv) Write a balanced chemical equation for the reaction of carbon monoxide with iron(III) oxide.","","Fe_2O_3 + 3CO \\rightarrow 2Fe + 3CO_2",""
"Steel is an alloy of iron.
(v) Name the main stages in the manufacture of steel using the electric arc process.","","charging, melting, refining, tapping, casting [any three]",""
